Date,Open,High,Low,Close,Volume
2016-06-21,2870.79,2999.6,2866.87,2985.93,7662363
2016-06-22,2954.71,2959.59,2917.63,2931.29,7513255
2016-06-23,2941.05,2946.9,2921.04,2943.98,5349994
2016-06-24,2970.32,2978.14,2634.64,2708.32,19183014
2016-06-27,2741.99,2749.8,2688.31,2714.65,7948899
2016-06-28,2688.31,2788.82,2683.93,2757.13,9016130
2016-06-29,2845.41,2904.46,2822.49,2890.31,13574257
2016-06-30,2965.45,3012.28,2915.67,2915.67,12221617
2016-07-01,2951.77,2972.28,2917.63,2934.21,7153034
2016-07-04,2944.95,2984.95,2920.06,2964.48,5652311
2016-07-05,2965.45,2973.23,2921.53,2962.51,5556493
2016-07-06,2914.71,2955.69,2881.53,2955.69,9299694
2016-07-07,2971.31,3013.26,2947.88,2960.56,7370604
2016-07-08,2965.45,2991.77,2934.21,2940.07,7711759
2016-07-11,3002.51,3086.44,2986.9,3057.18,11593822
2016-07-12,3093.27,3103.05,3028.88,3064.97,10811281
2016-07-13,3103.05,3129.39,2992.77,2999.6,12441847
2016-07-14,3024.96,3085.46,3019.11,3085.46,7946030
2016-07-15,3112.8,3145.96,3083.52,3102.06,9536014
2016-07-19,3140.1,3180.13,3112.8,3157.68,11590236
2016-07-20,3160.6,3177.2,3127.43,3153.78,5946635
2016-07-21,3192.8,3205.49,3125.47,3135.24,7352564
2016-07-22,3105.97,3149.86,3099.13,3118.65,6845696
2016-07-25,3122.55,3145.96,3079.62,3083.52,4681412
2016-07-26,3065.95,3104.0,3039.61,3083.52,5024002
2016-07-27,3107.9,3180.13,3101.06,3147.92,6398472
2016-07-28,3122.55,3136.2,3088.38,3114.73,5102708
2016-07-29,3171.33,3202.56,3112.8,3202.56,11261887
2016-08-01,3268.91,3314.76,3250.38,3258.19,10758811
2016-08-02,3239.63,3272.82,3217.19,3242.56,6604356
2016-08-03,3196.7,3227.94,3181.09,3188.91,6443152
2016-08-04,3205.49,3232.8,3161.58,3199.61,5250587
