Date,Open,High,Low,Close,Volume
2016-06-21,542.28,553.33,537.67,552.41,82438
2016-06-22,548.73,548.73,536.75,545.05,98189
2016-06-23,547.78,547.78,539.53,545.05,78853
2016-06-24,548.73,551.48,514.66,523.87,160644
2016-06-27,542.28,544.12,534.0,544.12,98621
2016-06-28,534.0,543.2,529.4,535.84,76032
2016-06-29,534.91,535.84,524.78,533.06,76139
2016-06-30,533.06,535.84,527.55,527.55,68753
2016-07-01,531.24,536.75,527.55,535.84,53440
2016-07-04,531.24,536.75,530.33,534.0,30521
2016-07-05,527.55,540.43,527.55,539.53,56045
2016-07-06,526.62,547.78,514.66,545.05,129468
2016-07-07,542.28,545.05,534.91,540.43,54416
2016-07-08,541.35,541.35,524.78,527.55,75813
2016-07-11,547.78,567.13,545.96,548.73,220707
2016-07-12,550.57,561.6,548.73,552.41,109486
2016-07-13,556.08,556.08,548.73,551.48,82656
2016-07-14,552.41,570.83,550.57,567.13,149238
2016-07-15,566.23,580.95,565.3,572.67,101231
2016-07-19,575.41,605.81,573.57,603.95,216256
2016-07-20,594.74,616.87,588.3,612.25,204740
2016-07-21,620.53,621.47,603.95,608.57,144783
2016-07-22,601.2,607.63,601.2,605.81,72447
2016-07-25,608.57,612.25,603.95,605.81,105683
2016-07-26,605.81,606.73,600.27,604.89,133164
2016-07-27,600.27,608.57,587.4,606.73,188774
2016-07-28,604.89,604.89,594.74,597.53,59739
2016-07-29,597.53,611.34,590.15,611.34,83961
2016-08-01,556.08,571.75,554.25,562.53,249489
2016-08-02,580.02,613.18,570.83,610.42,315528
2016-08-03,602.13,602.13,585.56,586.46,114262
2016-08-04,587.4,588.3,575.41,580.95,79505
2016-08-05,586.46,586.46,572.67,576.34,75813
2016-08-08,582.8,597.53,580.02,596.59,72556
2016-08-09,596.59,638.03,592.91,635.27,165095
2016-08-10,639.86,647.23,615.93,616.87,136529
2016-08-12,622.38,635.27,618.7,629.76,71143
2016-08-15,626.07,637.11,616.87,636.2,100252
2016-08-16,636.2,636.2,599.36,601.2,106334
2016-08-17,598.44,606.73,589.25,594.74,80049
2016-08-18,586.46,593.85,580.95,580.95,77227
2016-08-19,580.02,580.95,565.3,567.13,100904
2016-08-22,568.06,581.88,565.3,570.83,52787
2016-08-23,568.98,580.95,568.98,571.75,54306
2016-08-24,579.12,583.71,573.57,580.02,30303
2016-08-25,580.02,582.8,573.57,579.12,47682
2016-08-26,575.41,576.34,565.3,566.23,75487
2016-08-29,570.83,589.25,564.38,583.71,124257
2016-08-30,580.02,586.46,575.41,576.34,51485
2016-08-31,580.02,585.56,575.41,585.56,34539
2016-09-01,585.56,592.01,572.67,575.41,64626
2016-09-02,572.67,575.41,567.13,568.98,63866
2016-09-05,575.41,577.27,569.91,571.75,40406
2016-09-06,574.51,586.46,569.91,585.56,113612
2016-09-07,580.95,589.25,577.27,588.3,44099
2016-09-08,589.25,590.15,582.8,586.46,50833
2016-09-09,589.25,589.25,582.8,584.63,64517
2016-09-12,580.02,581.88,571.75,578.19,44749
2016-09-13,580.02,580.02,571.75,571.75,43880
2016-09-14,569.91,570.83,552.41,555.17,89281
2016-09-15,555.17,560.67,543.2,547.78,60283
2016-09-16,549.63,572.67,549.63,572.67,87436
2016-09-20,575.41,580.95,562.53,565.3,123062
2016-09-21,562.53,580.95,562.53,580.95,63866
2016-09-23,580.95,581.88,577.27,580.95,93626
2016-09-26,580.95,581.88,568.98,570.83,114697
2016-09-27,565.3,586.46,560.67,586.46,196377
2016-09-28,577.39,588.56,574.62,587.62,64638
